customer_id,size,type
1210469940,MICRO,HOME SALES
1277939294,,CORNER SHOP
1006989421,MEDIUM,GROCERIES
1618314377,,HOME SALES
707369850,,HOME SALES
169225079,MEDIUM,GROCERIES
1343667492,,CORNER SHOP
1973425748,MICRO,HOME SALES
371602586,MICRO,HOME SALES
331944814,MICRO,CORNER SHOP
191223601,SMALL,GROCERIES
1592152062,,HOME SALES
637184515,MICRO,HOME SALES
296321092,SMALL,CORNER SHOP
997213304,,GROCERIES
1971635508,SMALL,HOME SALES
790062442,SMALL,CORNER SHOP
690645029,MEDIUM,GROCERIES
384515415,MEDIUM,GROCERIES
241250011,SMALL,HOME SALES
1999695186,MEDIUM,GROCERIES
449323975,MEDIUM,BAR
1171159641,MICRO,HOME SALES
1341817338,SMALL,HOME SALES
2004351277,MEDIUM,HOME SALES
555554271,SMALL,HOME SALES
395773463,MEDIUM,GROCERIES
1638778609,SMALL,CORNER SHOP
1617546796,,HOME SALES
1561717447,MEDIUM,GROCERIES
1093285469,SMALL,HOME SALES
1831892911,SMALL,BAR
1865636914,LARGE,GROCERIES
113349835,SMALL,BAR
677544417,,BAR
623832166,SMALL,HOME SALES
1961212738,,HOME SALES
897213524,MEDIUM,BAR
1005007881,EXTRA LARGE,GROCERIES
2126334501,,GROCERIES
1264394265,,HOME SALES
2062141789,MEDIUM,FRESH VEGTABLE MARKET
171485209,SMALL,HOME SALES
1522445781,MEDIUM,GROCERIES
1394077277,MEDIUM,HOME SALES
21389312,SMALL,CORNER SHOP
1679848731,LARGE,GROCERIES
1723358000,MEDIUM,WINE AND SPIRIT
88181787,SMALL,HOME SALES
760689054,,BAR
1938506468,LARGE,GROCERIES
561448224,MEDIUM,CORNER SHOP
1418701019,,HOME SALES
1478504426,MEDIUM,GROCERIES
426233652,SMALL,HOME SALES
857525737,MICRO,GROCERIES
1997532126,MICRO,HOME SALES
1874310231,MICRO,HOME SALES
1229575955,,HOME SALES
1931650287,MEDIUM,CORNER SHOP
498866118,SMALL,BAR
994427350,MICRO,PHARMACY
592042568,SMALL,CORNER SHOP
1530282425,,BAR
161894589,MEDIUM,SPECIALIZED FOOD SERVICES
1772241348,MEDIUM,GROCERIES
2066116872,SMALL,HOME SALES
655024720,MICRO,HOME SALES
1327845303,MEDIUM,HOME SALES
1000800106,MICRO,HOME SALES
314179115,MEDIUM,HOME SALES
1806037120,MEDIUM,WINE AND SPIRIT
944122273,,HOME SALES
78167868,SMALL,HOME SALES
539305309,SMALL,CORNER SHOP
672132393,MEDIUM,WHOLESELLER
1972455790,SMALL,BAR
1575262049,SMALL,GROCERIES
1024962253,MEDIUM,GROCERIES
902189277,MEDIUM,GROCERIES
1899865316,EXTRA LARGE,GROCERIES
504655082,LARGE,WHOLESELLER
1475738667,LARGE,GROCERIES
1101600857,MEDIUM,HOME SALES
561271250,MEDIUM,FRESH VEGTABLE MARKET
178800571,SMALL,GROCERIES
1108132187,SMALL,CORNER SHOP
1762559227,SMALL,SPECIALIZED FOOD SERVICES
412218573,SMALL,GROCERIES
1316716633,,HOME SALES
1907893635,MICRO,HOME SALES
680752124,SMALL,CORNER SHOP
1868935095,SMALL,HOME SALES
1212993467,LARGE,CORNER SHOP
1250314658,SMALL,GROCERIES
330200370,LARGE,WHOLESELLER
1796012993,MEDIUM,PHARMACY
1416943145,SMALL,HOME SALES
1311345525,MEDIUM,HOME SALES
384117302,MEDIUM,BAR
1566178114,MEDIUM,GROCERIES
32051085,LARGE,WINE AND SPIRIT
2137803880,MEDIUM,CORNER SHOP
1175119660,SMALL,CORNER SHOP
1713536621,MEDIUM,FRESH VEGTABLE MARKET
1934443188,,CORNER SHOP
753564906,,HOME SALES
1558371383,LARGE,CORNER SHOP
907234786,MEDIUM,BAR
374948783,MICRO,HOME SALES
672168956,MICRO,HOME SALES
1007396152,MEDIUM,CORNER SHOP
1738620657,MEDIUM,GROCERIES
2018246419,MICRO,HOME SALES
1282707796,SMALL,WINE AND SPIRIT
77987214,MEDIUM,GROCERIES
2035959712,MEDIUM,BAR
843217908,MEDIUM,HOME SALES
2083577905,MEDIUM,CORNER SHOP
741357936,LARGE,CORNER SHOP
270644195,SMALL,FRESH VEGTABLE MARKET
1790155874,MEDIUM,CORNER SHOP
502567203,SMALL,GROCERIES
1257643539,SMALL,GROCERIES
672962476,,CORNER SHOP
7057505,SMALL,HOME SALES
594548126,MICRO,HOME SALES
46473239,MEDIUM,HOME SALES
2127777568,SMALL,HOME SALES
91736428,EXTRA LARGE,WHOLESELLER
1603856208,MEDIUM,CORNER SHOP
244854777,SMALL,CORNER SHOP
1126872656,MEDIUM,BAR
1351822728,,GROCERIES
1633942077,MEDIUM,GROCERIES
349033483,MEDIUM,HOME SALES
682160705,MEDIUM,HOME SALES
712142099,MEDIUM,GROCERIES
1367312309,MEDIUM,CORNER SHOP
1654023926,,FAMILY-RUN SUPERMAKRET
367694368,SMALL,BAR
2104180587,MICRO,CORNER SHOP
1824375084,LARGE,FAMILY-RUN SUPERMAKRET
1190849452,LARGE,WHOLESELLER
511389986,,CORNER SHOP
1736523993,SMALL,HOME SALES
763014397,MEDIUM,HOME SALES
278616560,MEDIUM,GROCERIES
1655983932,MEDIUM,HOME SALES
1681430497,MICRO,HOME SALES
551153880,SMALL,HOME SALES
1706125279,,FRESH VEGTABLE MARKET
2071051735,,HOME SALES
2143225538,MEDIUM,GROCERIES
273682142,SMALL,HOME SALES
2010911250,LARGE,FAMILY-RUN SUPERMAKRET
1549452136,SMALL,GROCERIES
442607676,SMALL,HOME SALES
1031225267,MEDIUM,CORNER SHOP
1339472255,MEDIUM,GROCERIES
409606252,MEDIUM,GROCERIES
117515193,,HOME SALES
944331605,MICRO,HOME SALES
1997303610,MICRO,HOME SALES
2125028927,SMALL,HOME SALES
634553485,SMALL,GROCERIES
397324708,MEDIUM,CORNER SHOP
1660153483,MEDIUM,GROCERIES
371248476,,GROCERIES
1838585070,SMALL,GROCERIES
1819949175,SMALL,GROCERIES
1729273008,MEDIUM,WHOLESELLER
1506734073,SMALL,HOME SALES
1274023883,SMALL,BAR
362744484,MICRO,HOME SALES
217317511,LARGE,GROCERIES
459987154,SMALL,HOME SALES
568670764,MICRO,HOME SALES
1251999418,MEDIUM,GROCERIES
753181592,SMALL,FRESH VEGTABLE MARKET
249086575,SMALL,HOME SALES
2062411032,SMALL,GROCERIES
1388205277,SMALL,WINE AND SPIRIT
827956897,EXTRA LARGE,WINE AND SPIRIT
12844478,,HOME SALES
1097954804,MEDIUM,GROCERIES
1087943628,,HOME SALES
1359131296,EXTRA LARGE,FAMILY-RUN SUPERMAKRET
118591038,,CORNER SHOP
464602886,,HOME SALES
1275437704,SMALL,WINE AND SPIRIT
1993125496,,FRESH VEGTABLE MARKET
1143226100,EXTRA LARGE,WHOLESELLER
288238423,MEDIUM,CORNER SHOP
76489426,MICRO,GROCERIES
690155945,SMALL,FRESH VEGTABLE MARKET
1824839132,SMALL,CORNER SHOP
1748898920,MICRO,HOME SALES
1430136895,SMALL,WINE AND SPIRIT
487894318,MEDIUM,GROCERIES
1369035333,EXTRA LARGE,GROCERIES
426228541,,CORNER SHOP
245257753,MEDIUM,FAMILY-RUN SUPERMAKRET
1119362588,SMALL,HOME SALES
1669598768,SMALL,BUTCHERY
1541839247,MEDIUM,CORNER SHOP
1135360721,MICRO,HOME SALES
160928095,MEDIUM,CORNER SHOP
308841072,MEDIUM,HOME SALES
1323897190,,HOME SALES
383884336,,HOME SALES
1677875686,MEDIUM,WINE AND SPIRIT
1936348163,MEDIUM,GROCERIES
605696992,SMALL,HOME SALES
1585095204,MEDIUM,CORNER SHOP
1494052157,SMALL,HOME SALES
255502151,,FRESH VEGTABLE MARKET
911525881,LARGE,WHOLESELLER
7687276,MICRO,HOME SALES
755542327,LARGE,FRESH VEGTABLE MARKET
2096201186,,HOME SALES
1961523028,MEDIUM,CORNER SHOP
532585032,SMALL,GROCERIES
1361053758,,WINE AND SPIRIT
792153052,LARGE,WINE AND SPIRIT
436758456,,HOME SALES
2058936276,,HOME SALES
1710753643,,CORNER SHOP
1392531568,SMALL,HOME SALES
1265784396,SMALL,HOME SALES
2115119988,,GROCERIES
1947088181,MEDIUM,FRESH VEGTABLE MARKET
2076506516,MEDIUM,GROCERIES
1725594072,MEDIUM,GROCERIES
1720863237,,HOME SALES
1561084205,,HOME SALES
1414768586,MEDIUM,CORNER SHOP
1973189105,EXTRA LARGE,WINE AND SPIRIT
1061021315,SMALL,HOME SALES
742073232,,HOME SALES
1953367487,MICRO,HOME SALES
117064676,SMALL,WINE AND SPIRIT
422685231,MICRO,HOME SALES
459295582,MEDIUM,FAMILY-RUN SUPERMAKRET
1893622002,SMALL,BAR
931033178,SMALL,HOME SALES
133701708,MICRO,HOME SALES
1225981899,,CORNER SHOP
1823737610,MEDIUM,GROCERIES
972032105,,HOME SALES
55229886,SMALL,HOME SALES
1781885451,SMALL,HOME SALES
271789447,SMALL,CORNER SHOP
244676925,MEDIUM,GROCERIES
310280715,MEDIUM,HOME SALES
1436820236,MEDIUM,CORNER SHOP
792334640,LARGE,GROCERIES
1794503155,MICRO,BAR
143577939,MEDIUM,FRESH VEGTABLE MARKET
859048720,,GROCERIES
282032473,,GROCERIES
1753112063,MICRO,BAR
516611018,SMALL,GROCERIES
210288808,MICRO,HOME SALES
2030610795,MEDIUM,FRESH VEGTABLE MARKET
358469997,MEDIUM,GROCERIES
1328500206,MICRO,FRESH VEGTABLE MARKET
660481551,MEDIUM,GROCERIES
1084684907,MEDIUM,GROCERIES
338323707,MEDIUM,GROCERIES
1143300060,SMALL,BAR
1824462639,MEDIUM,HOME SALES
272635843,SMALL,PHARMACY
720428879,SMALL,GROCERIES
740474089,SMALL,HOME SALES
1721573498,SMALL,HOME SALES
1739007109,MEDIUM,CORNER SHOP
1939416282,SMALL,HOME SALES
1906170066,SMALL,HOME SALES
95253463,SMALL,CORNER SHOP
1172090651,,HOME SALES
59546952,LARGE,GROCERIES
241356758,MICRO,FAMILY-RUN SUPERMAKRET
1889040372,,HOME SALES
937851374,SMALL,HOME SALES
428470413,MEDIUM,FAMILY-RUN SUPERMAKRET
324682412,SMALL,HOME SALES
1848688107,MEDIUM,HOME SALES
1633612092,,GROCERIES
590478091,,GROCERIES
457264054,,HOME SALES
863630774,SMALL,HOME SALES
219032198,MICRO,HOME SALES
1334691595,SMALL,FRESH VEGTABLE MARKET
831228393,,HOME SALES
528808474,,CORNER SHOP
28559429,MEDIUM,GROCERIES
716698221,SMALL,BAR
1868151603,MICRO,PHARMACY
151813179,SMALL,CORNER SHOP
2085006826,MICRO,HOME SALES
823723829,MICRO,GROCERIES
2121042171,SMALL,HOME SALES
1514347436,MEDIUM,CORNER SHOP
1098513650,MEDIUM,GROCERIES
128725650,SMALL,HOME SALES
1250610888,MICRO,HOME SALES
761272312,SMALL,BAR
1469986503,MICRO,HOME SALES
166050713,,FRESH VEGTABLE MARKET
1100761870,MEDIUM,HOME SALES
323100344,,GROCERIES
2094070959,SMALL,GROCERIES
1542191191,SMALL,HOME SALES
1934922659,MEDIUM,GROCERIES
1842971130,SMALL,GROCERIES
1201186692,LARGE,WINE AND SPIRIT
964800157,,HOME SALES
194019441,MICRO,HOME SALES
1283928762,,HOME SALES
1563604599,,WINE AND SPIRIT
2131038627,SMALL,HOME SALES
1765541871,SMALL,HOME SALES
264551922,MICRO,HOME SALES
651027698,SMALL,BAR
1099600425,,HOME SALES
1688321624,MEDIUM,GROCERIES
156339609,MEDIUM,CORNER SHOP
1402599995,,HOME SALES
1625316612,SMALL,HOME SALES
1618124784,,HOME SALES
1241605762,MEDIUM,CORNER SHOP
181346053,,CORNER SHOP
1534895457,MICRO,HOME SALES
206768745,MEDIUM,CORNER SHOP
1926369835,EXTRA LARGE,GROCERIES
504327808,MEDIUM,GROCERIES
101381205,SMALL,CORNER SHOP
550882272,SMALL,SPECIALIZED FOOD SERVICES
1868481080,SMALL,CORNER SHOP
180891695,,HOME SALES
421764714,,CORNER SHOP
230500461,SMALL,HOME SALES
854126449,SMALL,CORNER SHOP
1115472431,MEDIUM,GROCERIES
1136559407,MEDIUM,GROCERIES
1179763783,SMALL,CORNER SHOP
2066624780,SMALL,HOME SALES
1707308851,MEDIUM,BAR
1250075263,MICRO,HOME SALES
1048303733,MEDIUM,GROCERIES
699759423,,HOME SALES
957837868,SMALL,CORNER SHOP
703061852,MICRO,HOME SALES
216120170,MEDIUM,GROCERIES
1947922402,,FRESH VEGTABLE MARKET
1736811367,MICRO,HOME SALES
695258565,SMALL,HOME SALES
1954843135,,FAMILY-RUN SUPERMAKRET
110776504,,HOME SALES
1675780543,,HOME SALES
727493176,SMALL,BAR
929798000,MICRO,HOME SALES
608175564,,HOME SALES
621384307,SMALL,HOME SALES
1169316701,,HOME SALES
688841501,SMALL,GROCERIES
419637700,SMALL,HOME SALES
201110258,,GROCERIES
332726228,,HOME SALES
903784248,MEDIUM,GROCERIES
1852573736,MEDIUM,BAR
1421855069,,HOME SALES
349340929,SMALL,PHARMACY
1025047796,SMALL,HOME SALES
2106435823,,HOME SALES
664672032,MEDIUM,CORNER SHOP
662688363,,WINE AND SPIRIT
1214800049,,CORNER SHOP
902033677,SMALL,HOME SALES
1327685694,MEDIUM,SPECIALIZED FOOD SERVICES
536861554,MEDIUM,CORNER SHOP
938252995,MICRO,HOME SALES
78605213,MEDIUM,GROCERIES
1030083828,,HOME SALES
1032209659,SMALL,HOME SALES
1307798090,MICRO,HOME SALES
1613631913,MICRO,HOME SALES
1694939025,MICRO,HOME SALES
1084087005,SMALL,HOME SALES
1404185402,EXTRA LARGE,FAMILY-RUN SUPERMAKRET
1455456808,SMALL,HOME SALES
1131434811,SMALL,HOME SALES
677266817,SMALL,CORNER SHOP
533298223,,GROCERIES
1747616825,MICRO,GROCERIES
1850005737,LARGE,GROCERIES
1067323137,,HOME SALES
1759707905,,GROCERIES
1056473900,EXTRA LARGE,GROCERIES
29890542,,CORNER SHOP
1883421956,,HOME SALES
1099527764,MEDIUM,GROCERIES
1184452049,SMALL,BAR
735235127,,FAMILY-OWNED RESTAURANT
1445055317,MEDIUM,CORNER SHOP
1225250644,SMALL,HOME SALES
1810271631,,CORNER SHOP
2124729796,LARGE,GROCERIES
1959974588,LARGE,GROCERIES
2072659875,SMALL,GROCERIES
1548714309,LARGE,GROCERIES
279232086,,HOME SALES
132052277,MICRO,PHARMACY
1053910777,MEDIUM,GROCERIES
1595360021,MEDIUM,HOME SALES
750408576,MEDIUM,GROCERIES
229052336,SMALL,HOME SALES
408612297,MEDIUM,GROCERIES
1073915492,,CORNER SHOP
1892857291,MEDIUM,GROCERIES
625186516,,GROCERIES
1957540322,,CORNER SHOP
47588233,SMALL,HOME SALES
1326969985,,HOME SALES
537970627,SMALL,BAR
393286135,MEDIUM,HOME SALES
1796044519,,HOME SALES
2036227313,MEDIUM,CORNER SHOP
1642691509,,HOME SALES
329137505,,GROCERIES
337456101,,HOME SALES
209282711,,HOME SALES
1691767189,MICRO,BUTCHERY
1689886996,,PHARMACY
17953057,,CORNER SHOP
1454777071,,HOME SALES
1517588923,MEDIUM,GROCERIES
1478760494,,HOME SALES
500112116,MICRO,HOME SALES
58036139,EXTRA LARGE,BAR
1453403953,,GROCERIES
1190790973,MEDIUM,HOME SALES
1338086595,MICRO,FRESH VEGTABLE MARKET
1081304599,,BAR
28746398,MEDIUM,GROCERIES
343096447,MEDIUM,CORNER SHOP
572652096,MICRO,CORNER SHOP
675405307,MEDIUM,GROCERIES
1575096121,MEDIUM,WHOLESELLER
1254579428,,WINE AND SPIRIT
2046413245,MEDIUM,GROCERIES
1291840713,MICRO,CORNER SHOP
1274776706,SMALL,HOME SALES
347024665,,HOME SALES
212318637,MEDIUM,GROCERIES
634487772,LARGE,GROCERIES
1002212977,MEDIUM,GROCERIES
1402674453,MICRO,HOME SALES
1978467907,MICRO,BAR
631966880,,HOME SALES
2096662335,EXTRA LARGE,GROCERIES
1080688830,MICRO,HOME SALES
1668128578,MEDIUM,GROCERIES
1537348191,MICRO,HOME SALES
1250149552,MICRO,HOME SALES
78242532,MEDIUM,HOME SALES
329279,MEDIUM,CORNER SHOP
2097830882,LARGE,GROCERIES
2106575117,SMALL,HOME SALES
257726718,MEDIUM,GROCERIES
824828726,,HOME SALES
1872454328,SMALL,CORNER SHOP
1943294244,MEDIUM,GROCERIES
537702225,,GROCERIES
625338582,,CORNER SHOP
240751998,MICRO,WHOLESELLER
1355795925,MICRO,GROCERIES
639281031,,CORNER SHOP
927886338,SMALL,HOME SALES
1945736065,MICRO,BUTCHERY
1224546071,MEDIUM,GROCERIES
396077307,,GROCERIES
652494306,,HOME SALES
1903089132,MICRO,BUTCHERY
