material_id,category
3008,ProductA
3041,ProductA
4548,ProductA
19894,ProductA
2549,ProductB
2667,ProductB
2931,ProductB
2933,ProductB
2964,ProductB
2977,ProductB
2978,ProductB
3001,ProductB
3172,ProductB
3176,ProductB
3191,ProductB
3257,ProductB
4469,ProductB
4488,ProductB
4489,ProductB
5114,ProductB
5118,ProductB
5119,ProductB
5153,ProductB
5233,ProductB
6561,ProductB
6755,ProductB
6803,ProductB
8389,ProductB
8390,ProductB
8391,ProductB
12001,ProductB
12002,ProductB
12010,ProductB
12011,ProductB
16618,ProductB
16619,ProductB
16839,ProductB
16887,ProductB
16945,ProductB
16973,ProductB
17034,ProductB
2953,ProductC
2954,ProductC
2955,ProductC
2956,ProductC
3856,ProductC
3857,ProductC
3858,ProductC
3859,ProductC
4534,ProductC
4637,ProductC
16966,ProductC
16975,ProductC
6214,ProductD
7099,ProductD
7100,ProductD
7196,ProductD
7410,ProductD
7412,ProductD
7413,ProductD
16675,ProductD
5744,ProductE
5888,ProductE
5889,ProductE
5891,ProductE
5910,ProductE
17046,ProductE
